date	iso2c	res	exr	d_exr	capital_gains
2016-01-01	IL	95446.2902815568	3.845	-0.05699999999999994	-5162.776049258559
2017-01-01	IL	113009.532488062	3.467	-0.3780000000000001	-36078.69772642848
2018-01-01	IL	115265.900520851	3.748	0.28100000000000014	31755.678629145437
2019-01-01	IL	126019.828810341	3.456	-0.29200000000000026	-33657.64295208852
2002-01-01	IN	70377.0377700117	48.03	NA	NA
2003-01-01	IN	102260.726263107	45.605	-2.4250000000000043	-170664.31659227866
2004-01-01	IN	130401.340872665	43.585	-2.019999999999996	-206566.66705147573
2005-01-01	IN	136026.04602521	45.065	1.4799999999999969	192993.9844915438
2006-01-01	IN	176104.880578023	44.245	-0.8200000000000003	-111541.35774067225
2007-01-01	IN	273859.449045455	39.415	-4.829999999999998	-850586.5731918508
2008-01-01	IN	254024.139706654	48.455	9.04	2475689.4193709134
2009-01-01	IN	274668.109140807	46.68	-1.7749999999999986	-450892.8479793105
2010-01-01	IN	297746.115505686	44.81	-1.8699999999999974	-513629.3640933084
2011-01-01	IN	297905.701552138	53.26	8.449999999999996	2515954.676023045
2012-01-01	IN	297806.336917185	54.7773	1.5172999999999988	452012.32096505864
2013-01-01	IN	296217.777092374	61.897	7.119700000000002	2120291.7769492823
2014-01-01	IN	322832.72492727	63.3315	1.4344999999999999	424924.40123901045
2015-01-01	IN	351551.073025188	66.326	2.994499999999995	966722.5947947085
2016-01-01	IN	359729.304692363	67.9547	1.6287000000000091	572571.2326361269
2017-01-01	IN	409771.767912134	63.9273	-4.0274	-1448773.801718023
2018-01-01	IN	396115.077183508	69.7923	5.864999999999995	2403311.4188046637
2002-01-01	KR	121414.449455919	1186.2	NA	NA
2003-01-01	KR	155355.141117687	1192.6	6.399999999999864	777052.4765178651
2004-01-01	KR	199068.864800159	1035.1	-157.5	-24468434.7260357
2005-01-01	KR	210390.77683875	1011.6	-23.499999999999886	-4678118.322803714
2006-01-01	KR	238956.510981532	929.8	-81.80000000000007	-17209965.545409765
2007-01-01	KR	262224.452963913	936.1	6.300000000000068	1505426.0191836678
2008-01-01	KR	201220.181976073	1259.5	323.4	84803388.08852945
2009-01-01	KR	270011.931249851	1164.5	-95	-19115917.287726935
2010-01-01	KR	291570.717611862	1134.8	-29.700000000000045	-8019354.358120588
2011-01-01	KR	306421.538469971	1151.8	17	4956702.199401654
2012-01-01	KR	326968.483967485	1070.6	-81.20000000000005	-24881428.92376166
2013-01-01	KR	346444.179569216	1055.4	-15.199999999999818	-4969920.956305712
2014-01-01	KR	363579.666287362	1099.3	43.899999999999864	15208899.483088534
2015-01-01	KR	367944.130364607	1172.5	73.20000000000005	26614031.572234914
2016-01-01	KR	371102.750374068	1207.7	35.200000000000045	12951633.388834182
2017-01-01	KR	389247.953318384	1070.5	-137.20000000000005	-50915297.351322144
2018-01-01	KR	403575.129741702	1118.1	47.59999999999991	18528202.577955045
2002-01-01	KW	9314.02694610632	0.29956263854772	NA	NA
2003-01-01	KW	7684.73219382236	0.294700113164843	-0.004862525382876959	-45.28969244224194
2004-01-01	KW	8349.62112916903	0.294698376211947	-1.7369528960142766e-6	-0.013348017839153894
2005-01-01	KW	8971.50176650526	0.291999789760151	-0.0026985864517959923	-22.5321744568051
2006-01-01	KW	12675.773570543	0.289142691918462	-0.002857097841689027	-25.632458333791472
2007-01-01	KW	16776.269409805	0.273000273000273	-0.01614241891818896	-204.61764708781297
2008-01-01	KW	17227.8568656946	0.275953419062862	0.002953146062589007	49.542773952498045
2009-01-01	KW	20378.1320465279	0.286795916026156	0.01084249696329398	186.79298575035705
2010-01-01	KW	21349.7929546034	0.2806	-0.00619591602615599	-126.26119493020516
2011-01-01	KW	25909.083087202	0.278551532033426	-0.0020484679665740413	-43.73436696049322
2012-01-01	KW	28998.5543565063	0.281246484418945	0.002694952385519034	69.82374527246589
2013-01-01	KW	29465.0558613791	0.282047666055563	8.011816366179647e-4	23.23310923890073
2014-01-01	KW	32222.3146735155	0.292800046848008	0.010752380792445004	316.8195006922117
2015-01-01	KW	28374.5756873618	0.303499347476403	0.010699300628395025	344.7562316346866
2016-01-01	KW	31131.0278462495	0.30615	0.0026506525235969747	75.21114065169893
2017-01-01	KW	33703.7249421855	0.3019	-0.004249999999999976	-132.30686834655964
2018-01-01	KW	37133.4630373971	0.30355	0.0016499999999999848	55.611146154605564
2002-01-01	MA	10325.4373995473	10.167	NA	NA
2003-01-01	MA	14075.1477322116	8.7499	-1.4170999999999996	-14632.177338898475
2004-01-01	MA	16575.1335802411	8.2177	-0.5321999999999996	-7490.793623083007
2005-01-01	MA	16467.4431126014	9.2494	1.031699999999999	17100.565314734726
2006-01-01	MA	20790.8584613579	8.4566	-0.7927999999999997	-13055.388899670384
2007-01-01	MA	24715.8752144397	7.7132	-0.7434000000000003	-15455.92418017347
2008-01-01	MA	22716.5602038162	8.0982	0.3850000000000007	9515.611957559302
2009-01-01	MA	23580.1165927924	7.8601	-0.2381000000000002	-5408.812984528642
2010-01-01	MA	23712.8332275651	8.3569	0.49679999999999946	11714.601923299253
2011-01-01	MA	20198.2309859826	8.5772	0.22029999999999994	5223.93716003259
2012-01-01	MA	17138.2104392511	8.4335	-0.14369999999999905	-2902.4857926856803
2013-01-01	MA	18795.6686401419	8.1506	-0.2828999999999997	-4848.399733264131
2014-01-01	MA	20267.2479955456	9.0425	0.8918999999999997	16763.856860142554
2015-01-01	MA	22751.1643061156	9.9057	0.8631999999999991	17494.688469754943
2016-01-01	MA	25105.6416138751	10.096	0.19030000000000058	4329.546567453812
2017-01-01	MA	26189.5859392967	9.3295	-0.7665000000000006	-19243.47429703528
2018-01-01	MA	24462.5377709159	9.5655	0.23600000000000065	6180.742281674038
2019-01-01	MA	26418.2500446347	9.5932	0.027699999999999392	677.6122962543556
2002-01-01	MU	1239.7101541088	29.1968	NA	NA
2003-01-01	MU	1598.37674352543	26.0877	-3.109099999999998	-3854.3828401396677
2004-01-01	MU	1629.84196741793	28.2044	2.116699999999998	3383.2840530202743
2005-01-01	MU	1365.78408973373	30.6666	2.4621999999999993	4012.9968921764257
2006-01-01	MU	1300.93915975745	34.3368	3.6701999999999977	5012.700766140733
2007-01-01	MU	1821.75432809683	28.2162	-6.120599999999996	-7962.5282212114425
2008-01-01	MU	1785.33062589554	31.7555	3.539300000000001	6447.735093433112
2009-01-01	MU	2303.65511320082	30.2905	-1.4649999999999999	-2615.5093669369658
2010-01-01	MU	2601.4273256281	30.3908	0.10029999999999717	231.05660785403572
